,comment_text,identity_attack_x,bias,target,category,rationale,predicted,labels
233,So I guess now all white people are terrorists.,0.816666667,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 5.0, 'neutral': 69.0, 'entailment': 26.0}"
234,You must really enjoy protecting white supremacists. Does your group have a name?,1,bias,whites,race,prejudice against whites,['contradiction'],"{'contradiction': 59.0, 'neutral': 28.4, 'entailment': 12.6}"
235,There is no method to the madness of pigheaded Islamist cowards. They have the thought process of rabid dogs they kill people over cartoons. Islamist fundamentalists are a regressive cancer that should be confronted accordingly. Islamism is fundamentally incompatible with liberal secular democracies: the 57 members of the OIC demonstrate as much on a daily basis.,0.5,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 0.8, 'neutral': 97.7, 'entailment': 1.5}"
236,Identity politics.... if you a not a black female pansexual quadriplegic then you will be disregarded.,0.625,bias,"blacks,women,pansexuals","race,gender,lgbtq","prejudice against blacks, women and pansexuals",['neutral'],"{'contradiction': 6.1, 'neutral': 52.3, 'entailment': 41.6}"
237,We will see women as popes  when Islamic men stop raping women playing tahharush killing gays forcing them to cover up not allowing them to drive stop performing genital mutilation etc. Jk we know neither will ever happen. Now run along and make my white self a sandwich honey,0.828571429,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 10.4, 'neutral': 66.4, 'entailment': 23.2}"
238,You forgot rightwing nuts Republican racists multinational corporate facists company men the Suits fraternity alums private security mercenaries evangelicals Dominionists and C average lawyers low education rednecks. Maybe thats who you meant when you wrote ...and hypocrites??,0.277777778,bias,republicans,political,prejudice against republicans,['neutral'],"{'contradiction': 7.0, 'neutral': 76.5, 'entailment': 16.5}"
239,Well now underwrought: its not that any numbers of people of colour and women that have white men crying foul.  Its that when an UNSUCCESSFUL white man demonstrates he has the same smarts abilities credentials as the successful woman or person of colour that he has the urge to cry foul.  I said urge.  Most men suck it up and try again or move on.,0.5,bias,"whites,men,women","race,gender",prejudice against whites and genders,['neutral'],"{'contradiction': 26.0, 'neutral': 66.9, 'entailment': 7.1}"
240,So Negros are 12 percent of the population sadly.  NFL is 80 percent black players.  NFL head coach 25 percent.    Opps wrong topic.  Black Vance must go.  His IQ is too low and he looks totally lost.  He is lucky to have a win at all.  Chargers and Raiders almost beat us in the end.  I see no trace whatsoever of the Broncos of past on offense.  Vance must swallow hard and admit Semen is not his thing.,0.5125,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 8.0, 'neutral': 84.9, 'entailment': 7.1}"
241,John every post you make is about how evil whitey is. As for Sharpton he uses racial disharmony as a tool to line his pockets. How about you quit hating people because they are white and deal with the problem at hand?,0.5,bias,whites,race,prejudice against whites,['entailment'],"{'contradiction': 3.7, 'neutral': 35.7, 'entailment': 60.6}"
242,Note the difference between the government killing black people and nongovernment blacks killing black people. Theres a difference.,0.9,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 0.8, 'neutral': 78.2, 'entailment': 21.0}"
243,My point still stands:   you would have made a better case if you gave a few cases of people whose lives were actually destroyed by using marijuana.  You dont think peoples lives have been destroyed through the judicial system?  We have too many people in jail and most is due to the war on drugs.  Shortsighted and stupid.   We need to stop funding the worlds largest prison industrial complex.  And yes people have gone to jail for just smoking a joint.  They tend to be black.,0.6,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 1.8, 'neutral': 95.8, 'entailment': 2.4}"
244,some of the truths about the relationship between israel and america is too much to swallow it appears for some.  my comments which were neutral but pointed about this relationship have disappeared.  it seems some people wish to remain in denial or wish to perpetuate the great lie nurtured by lame street media that 911 was the work of terrorists of a muslim lineage.,0.6,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 6.4, 'neutral': 83.9, 'entailment': 9.8}"
245,Blacks are killing blacks at record numbers vs. crime against blacks by other races. This is all BS because blacks refuse to take responsibility for their own savagery.,0.6875,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 6.7, 'neutral': 47.1, 'entailment': 46.2}"
246,Because all women are daft right Chris?,1,bias,women,gender,prejudice against women,['neutral'],"{'contradiction': 2.9, 'neutral': 67.0, 'entailment': 30.1}"
247,Take it up with the cat lobbyist. Hawaiis animal shelters cant handle the amount of ferals and the second cat people sniff out anything involving euthanasia of ferals theyll import protestors from the mainland. The debacle will be as large and vocal as the gay marriage bill.,0.6,bias,gays,lgbtq,prejudice against gays,['neutral'],"{'contradiction': 3.3, 'neutral': 91.3, 'entailment': 5.3}"
248,Because ladies are submissive servants who are only there as breeding machines and maids.  Sarc off,0.6125,bias,women,gender,prejudice against women,['neutral'],"{'contradiction': 5.3, 'neutral': 57.5, 'entailment': 37.2}"
249,And people wonder why so many black people are in jail. Its because some of them commit vicious crimes and deserve to be incarcerated.  For life in this case.,0.5,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 5.3, 'neutral': 78.9, 'entailment': 15.8}"
250,You obviously have forgotten how it was when republicans ruled.  Yes at one time republicans ran this state territory.  Basically from 1900 to 1954 republicans controlled everything.  Needless to say things were far from perfect unless perhaps you were white.,0.6,bias,"republicans,whites","political,race",prejudice towards republicans and whites,['neutral'],"{'contradiction': 3.7, 'neutral': 93.7, 'entailment': 2.6}"
251,The problem is not Islam. The problem is Islam...  Make up your mind.,0.6,bias,muslims,religion,prejudice against muslims,['contradiction'],"{'contradiction': 63.8, 'neutral': 35.1, 'entailment': 1.1}"
252,Its bad enough we already have all these American sickos living in this country shooting up theatre schools churches malls etc. we dont have room for crazy muslims.,1,bias,muslims,religion,prejudice towards muslims,['neutral'],"{'contradiction': 2.4, 'neutral': 73.3, 'entailment': 24.3}"
253,Who do you think youre fooling.  Youve been making excuses for those white supremacist Nazis.,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 4.5, 'neutral': 63.2, 'entailment': 32.2}"
254,The hard truth is that many minorities simply cant compete academically with Asian and White students. What most people dont know is that the best predictor of success on the SAT is race not socioeconomic status. Even poor Asian students fresh off the boat will routinely outperform wealthy blacks and Hispanics. This isnt racism. It is what it is.,0.6,bias,"asians,whites,blacks,hispanics",race,"prejudice against asians,whites,blacks and hispanics",['contradiction'],"{'contradiction': 76.3, 'neutral': 19.9, 'entailment': 3.7}"
255,martha get on youtube and see what the black men were doing when the police murdered them. educate yourself. what about the numbers? most whites are shot by other whites. so what? the issue is white cops killing unarmed black men.,0.833333333,bias,"whites,blacks",race,"prejudice against whites,blacks",['neutral'],"{'contradiction': 7.8, 'neutral': 81.8, 'entailment': 10.4}"
256,Trump is the preferred candidate of white racists. Just ask David Duke. Im sure you are pleased motley.,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 5.4, 'neutral': 60.2, 'entailment': 34.4}"
257,He was running for President of Indonesia.  A lot of white Christians wanted Obamas head too. For being a Muslim African with a fake American citizenship.,0.527027027,bias,"whites,christians,muslims,africans,americans","race,religion",prejudice against race and religions,['neutral'],"{'contradiction': 5.9, 'neutral': 86.9, 'entailment': 7.2}"
258,The last time I saw two great big confederate flags was last summer in Eagle River mounted on both sides of a big 4wheel drive pickup racing through the main drag acting like the fools they are. It scared me. That flag does not represent America. It represents slave ownership. It represents white power. It is repugnant.,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 2.9, 'neutral': 85.4, 'entailment': 11.7}"
259,This is going to be critically important when the country collapses. And let me ask: its OK to use queer again?  How about the very useful niggardly? A word that applies well to many pols lately. How about transvestite? Or even the coopted gay?  Removed from usage by ignorance and illiteracy these are now restored to us? Good for English.,1,bias,"blacks,lgbtq","race,lgbtq",prejudice against blacks and lgbtq,['neutral'],"{'contradiction': 20.6, 'neutral': 72.7, 'entailment': 6.7}"
260,Agree.  Cant see what all the fuss is about having a gay scene and gay character.  Especially when the main theme of the movie is beastiality.,0.5,bias,gays,lgbtq,prejudice towards gays,['neutral'],"{'contradiction': 3.9, 'neutral': 85.2, 'entailment': 10.9}"
261,The woman and her ideas are toxic. Period.,0.6,bias,women,gender,prejudice against women,['neutral'],"{'contradiction': 4.7, 'neutral': 85.1, 'entailment': 10.2}"
262,Wow you must be really up in arms that most interracial murder and rape are black on white the way you go ballistic over one white dude.,0.625,bias,,none,,['entailment'],"{'contradiction': 0.6, 'neutral': 4.4, 'entailment': 94.9}"
263,i have a feeling that swimming lessons correlate with raceimmigrant status and the teachers prolly wanted to avoid the appearance of discrimination.   it reminds me of the show survivor when many of the contestants who are blacks cant admit that they dont know how to swim.,0.5,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 8.9, 'neutral': 76.9, 'entailment': 14.2}"
264,The stock market increased more under Obama.  A lot more.  Did you thank him?  Oh wait ... hes black so no.,0.833333333,bias,whites,race,prejudice against whitess,['neutral'],"{'contradiction': 6.7, 'neutral': 86.7, 'entailment': 6.6}"
265,Perhaps those black men should get off the streets and into school or work or church.  Hanging out in gangs on corners late at night doesnt do anyone any good.,0.5,bias,"blacks,men","race,gender",prejudice against blacks and men,['neutral'],"{'contradiction': 6.8, 'neutral': 70.7, 'entailment': 22.5}"
266,Right. More poor white trash are on EBT SNAP,0.851256983,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 16.9, 'neutral': 75.0, 'entailment': 8.1}"
267,And you would know because youre a black man who knows lots of other black people right? Not that youre being patronizing  to black people or anything.,0.5125,bias,blacks,race,prejudice against blacks,['contradiction'],"{'contradiction': 64.9, 'neutral': 30.7, 'entailment': 4.4}"
268,Further I expect to be killed any day that after being beaten by two big racist rednecks in 2009 because of my race. I was only 65 years old then. Hate speech and racist utterances are prelude to this kind of action. A Muslim wont kill me. An American racist will.,0.8,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 15.4, 'neutral': 82.3, 'entailment': 2.3}"
269,Yup and young nonMuslim men can suddenly decide to rob a bank or commit some other crime and nobody generalizes about all of French culture as a cause. Your logic is absurd and petty.,0.7,bias,non muslims,religion,prejudice against non-muslims,['neutral'],"{'contradiction': 3.8, 'neutral': 76.8, 'entailment': 19.5}"
270,race on the mainland is taken to the extremes  whites is whites and blacks is black and no respect for each other with the extremes .   blacks protesting are the criminals protecting black criminals.  they have too.,0.714285714,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 5.2, 'neutral': 68.8, 'entailment': 26.0}"
271,The best qualified candidate is not always the disabled native lesbian who has converted to Islam.  Funny how that works.,1,bias,"lesbians,muslims","lgbtq,religion",prejudice against lesbians and islam,['neutral'],"{'contradiction': 20.7, 'neutral': 67.5, 'entailment': 11.8}"
272,The delusion of modern science acquired by reading and actually listening to gays. Gasp. Do you even begin to understand who superstitious you sound and how that hurts your POV? Keep it up and they will be having gay marriages in your parish in the next few years.,0.5,bias,gays,lgbtq,prejudice against gays,['neutral'],"{'contradiction': 8.0, 'neutral': 63.4, 'entailment': 28.6}"
273,Muslim extremists versus Christian extremists.  Both reprehensible and responsible.,0.833333333,bias,"muslims,christians ",religion,"prejudice against muslims,christians",['entailment'],"{'contradiction': 7.3, 'neutral': 39.5, 'entailment': 53.2}"
274,Another White psychopath shows his ugly mug. Its all good though. The people are starting to fight back,0.513513514,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 4.8, 'neutral': 90.3, 'entailment': 4.8}"
275,Good luck to the family. Racism  intolerance and hatred are embedded in the white population of the southern usa. It is unbelievable this is the case in 2017 but anyone who has been to La. Miss. Alabama northern florida knows it to be true. Very sad.,0.833333333,bias,whites,race,prejudice against whites,['entailment'],"{'contradiction': 0.7, 'neutral': 7.8, 'entailment': 91.5}"
276,He is NOT  woman.  He is a transwoman and some sources say he has a brain injury and the sex reassignment surgery it really doesnt change ones sex might have caused some problems.  Transwomen demand access to womens restrooms and locker rooms.   Now they just crap on peoples lawns.,0.6,bias,transgenders,lgbtq,prejudice against transgenders,['neutral'],"{'contradiction': 2.8, 'neutral': 77.2, 'entailment': 20.0}"
277,You lump All Muslims together in your protective little enclave.  The killers along with the innocent.  An attack on Sharia law is bigotry against all Muslims.    Anyone who protests Sharia law is a bigot andor a racist.  Anyone who points out that the killers claim to be Muslims is a bigot andor a racist.  Anyone who disagrees with you is a bigot andor a racist is my conclusion.,0.5125,bias,muslims,religion,prejudice against muslims,['entailment'],"{'contradiction': 0.4, 'neutral': 16.4, 'entailment': 83.1}"
278,Do South Africans enjoy suffering or they just plain stupid?  To paraphase Jacob Zuma the ANC will continue to steal everything until Jesus comes.,0.578947368,bias,south africans,race,prejudice against south africans,['neutral'],"{'contradiction': 4.0, 'neutral': 63.5, 'entailment': 32.5}"
279,Islamophobia is created by the actions of Muslims.  Tell them to stop.,0.5,bias,muslims,religion,prejudice against muslims,['entailment'],"{'contradiction': 5.7, 'neutral': 38.3, 'entailment': 56.1}"
280,I wish we could deport American Catholics who play censor on comboxes.     Censoring comments because you disagree with them....how incredibly lame.,0.614285714,bias,christians,religion,prejudice against christians,['neutral'],"{'contradiction': 3.8, 'neutral': 87.9, 'entailment': 8.3}"
281,And for the record Mr. Hanson white Americans drink more alcohol drink alcohol more heavily and take more drugs  both prescription and illegal drugs including illegal prescription drugs  than any other ethnic group.   So you can just stop peddling that racist lie.,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 5.8, 'neutral': 76.0, 'entailment': 18.2}"
282,They were all pretty peaceful before the white man came. Flagged for being a racist jerk.,0.565789474,bias,whites,race,prejudice against whitess,['neutral'],"{'contradiction': 5.5, 'neutral': 81.9, 'entailment': 12.6}"
283,Poor analogy. Both the KKK and the Blacks are Christians. So cross burning is racial not religious. But good try on explaining the silence of Muslims about their religious killers.,0.631578947,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 7.9, 'neutral': 83.4, 'entailment': 8.7}"
284,Hey now.....Black frats have had just as many incidents with their equally stupid rituals.,0.578947368,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 4.0, 'neutral': 86.0, 'entailment': 10.0}"
285,I guess race is irrelevant when a black cops shoots a white woman. Mohammed is the real victim here is what well be reading tomorrow.,0.597222222,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 6.8, 'neutral': 82.4, 'entailment': 10.8}"
286,The woman is basically a slave.  Well that just convinced me to vote for Trump. Yup...,0.833333333,bias,women,gender,prejudice against women,['neutral'],"{'contradiction': 14.1, 'neutral': 75.2, 'entailment': 10.7}"
287,Its time to kick them out of investing in Canada. We are being over run by Asians and they are like cancer over taking communities pushing people out. We are adapting to their culture they are not attempting to adapt to Canadas. People will call me a racist but is it racism to want the culture you grew up in to remain as it was.,0.5,bias,asians,race,prejudice against asians,['neutral'],"{'contradiction': 10.2, 'neutral': 72.7, 'entailment': 17.1}"
288,Wow. There are certainly a lot of transgender males posing as a manlymen trying to date women with young children whom they eventually molest. Was Goldschmidt transgender? The guy from Wales? The guy who was recently accused of raping a dd woman? It never occurred to me that Uncle Jake was trans when he was after all the little girls on the block. Thanks 420.,0.5,bias,transgenders,lgbtq,prejudice against transgenders,['neutral'],"{'contradiction': 27.4, 'neutral': 61.6, 'entailment': 11.0}"
289,In the lake of fire the fire dont quench and maggots Catholics priestscowards  dont die.,0.7,bias,catholics,religion,prejudice against catholics,['neutral'],"{'contradiction': 9.1, 'neutral': 75.7, 'entailment': 15.2}"
290,There are Jews of every race so that wont score any points when you play Blame the Race Game. Your observation that 52 of homicides committed by black are only convictions is a much stronger play when you embark on the fools errand of trying to correlate melanin levels and crime.,0.6,bias,"jews,blacks","religion,race",prejudice against jews and blacks,['neutral'],"{'contradiction': 7.1, 'neutral': 81.1, 'entailment': 11.8}"
291,Hey DP when are you going to ban this white supremacist troll?,0.553846154,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 5.8, 'neutral': 49.2, 'entailment': 45.0}"
292,And let me guess. Your proposal for people being gunned down in their place of worship is that Muslims should leave Canada.,0.5375,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 3.9, 'neutral': 76.2, 'entailment': 19.9}"
293,Expel this raging racist if a white student had posted anything like this about a minority theyd be gone already...,0.545454545,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 4.4, 'neutral': 53.1, 'entailment': 42.5}"
294,In related news: citing the fact that 93 of black lives are taken by blacks BLM has asked that blacks be banned from Pride.,0.6,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 3.6, 'neutral': 70.4, 'entailment': 26.1}"
295,It pleases me to no end to see the settlers finally being held accountable for their words and actions.  We have gotten used to having our way because of white privilege so it helps to see that rather than hiding behind white privilege and the usual exhortations for the darkskinned to get over it were just joking these settlers are held to account.  So far many of us are in agreement that all these claims about free speech is really a lent Arion that white settlers cant make fun of the darkskinned like in the good ol days.,0.5,bias,"blacks,whites",race,prejudice against blacks and whites,['neutral'],"{'contradiction': 3.6, 'neutral': 89.7, 'entailment': 6.7}"
296,One muslim casualty vs the hundreds and thousands of victims of muslim terrorism this year alone. Darn islamophobia.  I take it you are not including the hundreds of thousands of Muslims bombed back to the Stoneage in the Middle East.,0.6,bias,muslims,religion,prejudice against muslims,['entailment'],"{'contradiction': 2.8, 'neutral': 21.1, 'entailment': 76.1}"
297,Hide all the gays  Lesbians,0.892473118,bias,lgbtq,lgbtq,prejudice against lgbtq,['neutral'],"{'contradiction': 4.1, 'neutral': 81.9, 'entailment': 14.0}"
298,After the massacre in Orlando Muslim leaders and gay rights activist exonerated Islam and blamed Trump .,0.5,bias,"muslims,gays","religion,lgbtq",prejudice against muslims and gays,['neutral'],"{'contradiction': 10.0, 'neutral': 69.7, 'entailment': 20.3}"
299,Yep women and blacks just needed a good swat on the rear and life would have been much easier.,0.8,bias,"women,blacks","gender,race",prejudice against women and blacks,['neutral'],"{'contradiction': 4.0, 'neutral': 63.3, 'entailment': 32.8}"
300,You seem to be frightened by whites and you are white...Insane,0.594594595,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 2.7, 'neutral': 84.9, 'entailment': 12.4}"
301,Homosexual is now gay And gay people are out of the closet Theyre in the military Run for your life,0.6125,bias,homosexuals,lgbtq,prejudice against lgbtq,['neutral'],"{'contradiction': 12.8, 'neutral': 76.1, 'entailment': 11.1}"
302,But of course White Nazis never ram cars into pedestrians Right?,1,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 5.7, 'neutral': 80.1, 'entailment': 14.3}"
303,The new law which ludicrously requires transgender people to use the restroom consistent with the sex on their birth certificates  Yeah how dare we ask people to use the bathroom that fits their sex   How ludicrous ,0.8,bias,transgenders,lgbtq,prejudice against transgenders,['neutral'],"{'contradiction': 3.1, 'neutral': 86.7, 'entailment': 10.2}"
304,Because the politically correct movement is racist against white people.  Period.,0.7,bias,whites,race,prejudice against whites,['entailment'],"{'contradiction': 0.4, 'neutral': 7.3, 'entailment': 92.2}"
305,I am gay too so I can say it is  quite fascist to eradicate the rights of others ie the right of the School Board to say no. If  Muslim parents had objected you would say nothing. Even today in Toronto Imams teach children in mosques that gays are sick depraved people yet you say nothing about it. Catholics are much easier targets. .,0.5625,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 3.9, 'neutral': 80.0, 'entailment': 16.1}"
306,So what Alice is saying is that the only way for America to be great is that it be whites only? Race card much?,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 15.9, 'neutral': 55.3, 'entailment': 28.8}"
307,LOL.  Is that the best you have?   So it is okay if minorities insult each other and whites?  It is okay for blacks to own blacks?   It is okay for blacks to shoot blacks and whites?  All because of the so called white privilege? Here is an example of your so called white privilege:  URL ?vlDfThzQQDT4,0.52,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 9.2, 'neutral': 68.3, 'entailment': 22.5}"
308,Enjoy burning in hell christian.,0.849477352,bias,christians,religion,prejudice against christians,['neutral'],"{'contradiction': 9.0, 'neutral': 76.0, 'entailment': 15.0}"
309,Black are pathetic garbage worldwide  See Africa,0.976282051,bias,blacks,race,,['entailment'],"{'contradiction': 1.3, 'neutral': 5.2, 'entailment': 93.5}"
310,All his phony leaks was a figament of his imagination any one can imagine hearing  something other than what was really said like I would love to eat a donut the man says and then repeating that he heard the man say he ate 6 donuts. and thats the case here comey should have never had the position as FBI director he is a pansie dude and probably GAY.,0.5,bias,gays,lgbtq,prejudice against gays,['neutral'],"{'contradiction': 4.5, 'neutral': 82.4, 'entailment': 13.1}"
311,Because Arab fathers are bad fathers.,0.5,bias,arabs,race,prejudice against arabs,['entailment'],"{'contradiction': 4.3, 'neutral': 44.9, 'entailment': 50.9}"
312,Actually much of what the church has taught over the past 1900 years had not idiosyncratic it has been idiotic.,0.285714286,bias,christians,religion,prejudice against christians,['neutral'],"{'contradiction': 2.3, 'neutral': 96.0, 'entailment': 1.7}"
313,Why would Mitch buy weed from this Lowlife when he could buy it anywhere . Im assuming this White trash did not know Pot is legal In Colorado when he made that statement to police . Another stellar example of a well rounded and educated Alabama Voter..How did Alabama swing last November ?? Hummmm .. A pattern perhaps ?,0.6,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 20.1, 'neutral': 77.2, 'entailment': 2.7}"
314,Transgenderism and other politically correct stupidity will be the downfall of Western civilization.  Sorry if this offends the minority but most normal people are tired of this nonsense.,0.590163934,bias,transgenders,lgbtq,prejudice towards transgenders,['neutral'],"{'contradiction': 3.1, 'neutral': 73.0, 'entailment': 24.0}"
315,DANGER  Muslim housewives riding public transit on the way to the grocery store....EVERYBODY PANIC,0.6,bias,"muslims,women","religion,gender",prejudice against muslim women,['neutral'],"{'contradiction': 4.9, 'neutral': 90.3, 'entailment': 4.8}"
316,New Zealand was stolen from its indigenous people by white invaders,0.506666667,bias,whites,race,prejudice towards whites,['neutral'],"{'contradiction': 4.9, 'neutral': 89.8, 'entailment': 5.3}"
317,Of course they think that Alaska natives are uneducated. Their leader thinks that all black people are uneducated and live in inner cities.  The GOP is the official party of vile racism.,0.5,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 6.0, 'neutral': 55.5, 'entailment': 38.5}"
318,Oh I know a lot of gays.  In fact several are dead from AIDS.,0.528571429,bias,gays,lgbtq,prejudice against gays,['neutral'],"{'contradiction': 7.3, 'neutral': 84.4, 'entailment': 8.3}"
319,In the middle east they kill homosexuals....,0.671052632,bias,homosexuals,lgbtq,prejudice against homosexuals,['neutral'],"{'contradiction': 5.4, 'neutral': 77.0, 'entailment': 17.7}"
320,White privilege:  The belief whites are obligated to pay for the sins of my ancestors because others cant assume responsibility of their own lives.,0.5,bias,whites,race,prejudice against whites,['entailment'],"{'contradiction': 8.0, 'neutral': 24.6, 'entailment': 67.4}"
321,Maybe we should ask his Orthodox Jewish soninlaw and his daughter who converted to the faith  why he is such an antiSemite.,0.5,bias,jews,religion,prejudice against jews,['entailment'],"{'contradiction': 2.0, 'neutral': 34.8, 'entailment': 63.2}"
322,WE DO NOT NEED ANY SYRIAN REFUGEES Look what happen in Germany France UK Do we want that here? No but the PM does. Enough with the Syrian terrorists no more refugees from Syria.,0.7,bias,syrians,race,prejudice against syrians,['neutral'],"{'contradiction': 5.3, 'neutral': 83.8, 'entailment': 11.0}"
323,Protestants can be made to feel welcome when they stop treating catholics like garbage.,0.557142857,bias,catholics,religion,prejudice against catholics,['entailment'],"{'contradiction': 3.8, 'neutral': 26.9, 'entailment': 69.3}"
324,Divert migrants to Latin America... Excellent they will enjoy living in Amazon rainforest.,0.5,bias,latino,race,prejudice against latinos,['contradiction'],"{'contradiction': 85.8, 'neutral': 13.3, 'entailment': 1.0}"
325,Thank God the police shot a white guy they can have this cleaned up and under the rug  in 30 minutes.  Of course Im assuming hes white.,0.8,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 3.8, 'neutral': 87.0, 'entailment': 9.2}"
326,I didnt see the word black in this article. Or big bad. Or gangster thug. Just from you. I guess we all see whatever will push our agenda.   white dude crap really?,0.75308642,bias,whites,race,prejudice towards whites,['neutral'],"{'contradiction': 8.8, 'neutral': 73.8, 'entailment': 17.5}"
327,Imagine the Media outrage if this passenger had been black,0.6,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 3.4, 'neutral': 80.8, 'entailment': 15.8}"
328,You declare that homosexual acts are immoral and evil.  I declare that you are evil for trying to devastate a group of people just for being who they are.  So whose declaration should carry greater weight?,0.5,bias,homosexuals,lgbtq,prejudice against homosexuals,['neutral'],"{'contradiction': 2.8, 'neutral': 49.9, 'entailment': 47.3}"
329,The democrats are not going to be happy until we are all unarmed and cowering helplessly facedown on the floor of a gay bar toilet.,0.671428571,bias,democrats,political,prejudice against democrats,['neutral'],"{'contradiction': 5.8, 'neutral': 76.4, 'entailment': 17.8}"
330,IF BLM were as concerned about black on black murder none of this would be an issue.,0.833333333,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 5.5, 'neutral': 60.6, 'entailment': 33.8}"
331,This was not a Canon Law matter. This was the bishop being a sore loser on gay marriage by being rude to gay spouses and threatening to the priests who would minister to them.  We saw the same kind of retaliatory nonsense when the Affordable Care Act passed and certain Bishops took retaliatory actions against sisters in Catholic Health who cleared the bill as not promoting abortion which was correct by the way.,0.6,bias,christians,religion,prejudice against christians,['neutral'],"{'contradiction': 2.3, 'neutral': 92.3, 'entailment': 5.3}"
332,Romney trump already said that both sides were bad people you had racist on both sides you had the white KKK the black KKK white supremacist and black supremacist and neo Nazi so both sides were racist is trump only suppose to blame one side and not the other wake up Romney and smell what your shoveling.,0.6,bias,"blacks,whites",race,prejudice against blacks and whites,['neutral'],"{'contradiction': 2.8, 'neutral': 52.2, 'entailment': 45.0}"
333,Pick the angry old white guy says an angry old white guy.,0.513513514,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 2.0, 'neutral': 89.8, 'entailment': 8.2}"
334,Did you listen to the part of the video where they say f white people as they beat him and cut him with a knife? Dont be stupid.,0.675,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 2.2, 'neutral': 51.0, 'entailment': 46.7}"
335,I dont really care. The more the Muslim world chews itself up the better for us.,1,bias,muslims,religion,prejudice against muslimss,['neutral'],"{'contradiction': 7.2, 'neutral': 80.9, 'entailment': 11.9}"
336,Pshaw. We know all women are liars and men at least white christian ones dont beat their families. We all know justice is swift and accurate.,0.5,bias,"women,whites,christians","gender,race,religion",prejudice against women and white christians,['contradiction'],"{'contradiction': 91.5, 'neutral': 5.9, 'entailment': 2.6}"
337,Another rabidly racist post from an angry black male with a victim mentality looking for reparations.,0.786666667,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 2.1, 'neutral': 73.2, 'entailment': 24.7}"
338,Theyre ugly white nazis. Whats more to know? Maybe having their names out there will prevent the next mosque shooting.,0.661538462,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 3.4, 'neutral': 87.3, 'entailment': 9.3}"
339,Blacks in America are just people like everybody else and have the right to vote Republican. Many Black voters voted for Trump because he was the only one who was willing to discuss problems within the black communities of America.  A Black person in America has a 3 chance of being shot by police. Already this year in Chicago over 800 blacks have been shot by other black citizens. Nobody but Trump wants to talk about it.,0.5,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 7.8, 'neutral': 87.1, 'entailment': 5.1}"
340,A homosexual orientation is not a sin. Homosexual behavior is a sin as well as heterosexual behavior outside of marriage is also a sin.,0.6,bias,homosexuals,lgbtq,prejudice against homosexuals,['neutral'],"{'contradiction': 29.0, 'neutral': 65.5, 'entailment': 5.5}"
341,Thats what happened when all the politically correct people elected a muslim who in himself hated OUR country.  Notice most of the protesters are black.  If you dont like this country move to North Korea....you should have one hell of a life there.,0.833333333,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 6.4, 'neutral': 55.4, 'entailment': 38.2}"
342,Its our strength as long as they arent muslim,1,bias,muslims,religion,prejudice towards muslims,['neutral'],"{'contradiction': 2.2, 'neutral': 84.4, 'entailment': 13.4}"
