comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
Uh why would i want to do that its bad enough being black.,0.689189189,neutral,,none,,contradiction,"[3.24558687210083, -2.594528913497925, -0.5781373977661133]"
No but we can agree your adopting the lingo of the white supremacists is disgusting.,0.647887324,bias,whites,race,prejudice against whites,neutral,"[-1.7425155639648438, -0.30571258068084717, 1.6588131189346313]"
White Christians are the majority voters in the US you are saying dont appeal to them?  Why would a politician not respect the majority?,0.272727273,neutral,,none,,contradiction,"[3.737794876098633, -2.729201078414917, -0.8380172252655029]"
Lets hear from her how tollerant Islam followers are to the Jews . How do the Muslims selfreflect on this? Do they still want to kill  all Jews?,0.585714286,bias,muslims,religion,prejudice against muslims,neutral,"[-0.7111595869064331, -0.29784491658210754, 0.7065562009811401]"
there is no such thing as a peacekeeping mission when dealing with islam,0.6,bias,muslims,religion,prejudice against muslims,neutral,"[-1.063158392906189, -0.5640051364898682, 1.26058030128479]"
So are you going to round up and deport all Jews Christians Hindus etc. etc. Maybe we should just give them all armbands with the appropriate religious symbol stenciled in red?,0.5,bias,"jews,christians,hindus",religion,"prejudice against jews,christians and hindus",neutral,"[-1.1180773973464966, 0.115059994161129, 0.6221228241920471]"
skyofblue: Rio is a well known poster who posts almost exclusively on jewish or Israel related stories.  He clearly has an agenda and would be happy if jews were eradicated completely.,0.5,bias,jews,religion,prejudice against jews,neutral,"[-1.57710599899292, 0.1300513744354248, 1.083331823348999]"
The niqab is a horrible symbol of womens oppression and for some reason it is only supported by the extreme right in Islam and by white liberals in the West.,0.5,bias,"muslims,whites,liberals","religion,race,political",prejudice against muslims and white liberals,neutral,"[-1.816096305847168, 0.3020181655883789, 1.127167820930481]"
Well the problem did start with Muslim immigrants who refused to assimilate and taught their children not to.  I wonder if Europe also had whiny phony Sikhs paving the way for Muslim accommodation ie bending over backwards and goatseing for them like we did here.  Oooh let us wear our turbans and ugly beards in the RCMP and legion halls because the British like us blah blah blah.  Should have told them to take their nasty turbans back to India so we could also tell Muslims to shove their accommodation up their asses.,0.714285714,bias,"sikhs,muslims",religion,prejudice against sikhs and muslims,neutral,"[-0.8660605549812317, -0.5255008339881897, 1.0110844373703003]"
Change the childs mind about what? Being LGBTQ? Or just thinking that LGBTQ people dont deserve to be treated any differently than anyone else? And what real issues are you referring to? There is nothing not real about being LGBTQ.   Spare us your veiled homophobia.,0.5,neutral,,none,,contradiction,"[3.2666544914245605, -2.4100546836853027, -0.8282292485237122]"
Pshaw. We know all women are liars and men at least white christian ones dont beat their families. We all know justice is swift and accurate.,0.5,bias,"women,whites,christians","gender,race,religion",prejudice against women and white christians,contradiction,"[2.0923852920532227, -1.4529221057891846, -0.6507856249809265]"
There are gay Jesuits? You amaze me Next thing youll be telling me that there are more gays in the clergyreligious life than there are in the general population,0.6375,bias,gays,lgbtq,prejudice towards gays,neutral,"[0.6349393129348755, -1.642391562461853, 0.7496054172515869]"
Why has hatred of muslims been singled out for special treatment?  Hatred of Muslims is emphasized not singled out among all forms of racial and religious discrimination. Thats justifiable at the moment due to the event in Quebec City and the fact that hate crimes against Muslims in Canada have increased considerably over the last two years.,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[-0.5343338251113892, 0.48067402839660645, -0.2091418355703354]"
He had full auto what sounded like an AR 223 5.56. I doubt he paid the 200 dollar tax stamp and 65k for a legal one. He is thought to be a Muslim convert so lets ban Muslims. fuck the left.,0.75,bias,"muslims,liberals","religion,political",prejudice against liberals,neutral,"[-1.099168062210083, -0.38860851526260376, 1.176147222518921]"
So its gay peoples fault. Dont worry Im sure youre on the priority list of people to be Raptured,0.7125,bias,gays,lgbtq,prejudice against gays,neutral,"[-0.8986130952835083, -0.5592588782310486, 1.0979692935943604]"
so other than governing while black what made Obama a racist and a thug?,0.527027027,neutral,,none,,contradiction,"[5.5754265785217285, -3.407524347305298, -2.003171443939209]"
Is it me or are female politicians just the worst?,0.801769912,bias,women,gender,prejudice against women,neutral,"[-1.9190517663955688, 0.24757906794548035, 1.2559142112731934]"
I heard Republicans were barricaded inside polling stations with orders to shoot to kill any black hispanic poor  or elderly person who looked like a Democrat who tried to vote.  Only white Republicans waving the Confederate flag  were allowed in to vote. That is what this story is all about. . Yup .,0.7,bias,"republicans,blacks,hispanics","political,race",prejudice against republicans and blacks,neutral,"[-1.8766320943832397, 0.4793223440647125, 1.1067324876785278]"
Only by firing American workers and hiring cheap foreign labor for his vineyard can The Donald make America great again. Rest assured none of those workers will be Muslims.,0.5,bias,muslims,religion,prejudice against muslims,neutral,"[-1.0487574338912964, -0.9307011961936951, 1.5680497884750366]"
Im liberalophobic They scare me with their PC fascism.  Their vapid stupid lies that they are out to help people. millions killed by their invented drug culture.  Their unreasoned hate of the white majority in favor of any minority no matter how insignificant in population.  Their lockstep kneejerk reactionary mentality to any cause that is antiAmerican.    Their inability to fathom that progressivism is actually regressivism as all of their beliefs have been tried before even begetting  doomed civilizations because of the same philosophy.,0.5,bias,liberals,political,prejudice against liberals,entailment,"[-2.2043418884277344, 1.8463236093521118, -0.2759540379047394]"
The picture in the newspaper is interesting.  A presumably black gay female officer is now excluded from a parade that BLM has really nothing to do with.  Amazing,0.6,bias,"blacks,gays","race,lgbtq",prejudice against blacks and gays,neutral,"[-0.05044195055961609, -1.1814043521881104, 0.9407992362976074]"
LOL it is more alarming that the current administration is refusing to acknowledge that white nationalist extremists are a major domestic terrorist threat.  What a joke.  Crazy Muslims way more of a problem world wide to boot.,0.9,bias,"whites,muslims","race,religion",prejudice against muslims and whites,neutral,"[-0.9682095050811768, -0.8466204404830933, 1.4365662336349487]"
Why should the gay men of Toronto want anything to do with Pride anymore? Bit by bit year after year  Gay Pride was taken away from us.   Now it has been stolen by  BLM and turned into this farce.   As a gay man I have no link to events anymore. Corporate sponsorship will be next to go . If Pride folds so be it.  We gay guys created Gay Pride 35 years ago and we can create something else to replace it.  Cops in uniform welcome.,0.5,bias,gays,lgbtq,prejudice against gays,neutral,"[-0.33248546719551086, -2.296325922012329, 2.2677016258239746]"
Burke Cordileone and Donohue the three stooges of gay U.S.A.,0.6,bias,gays,lgbtq,prejudice against men,neutral,"[-0.410449743270874, -0.7234716415405273, 0.8506664037704468]"
I think if you are a gay Muslim or a Jewish teacher trying to teach Muslim kids in the public school system you might be quite affected.,0.7,bias,"muslims,jews",religion,prejudice against muslims and jews,neutral,"[-0.910069465637207, -0.8774890303611755, 1.3921120166778564]"
The question should be is our military stronger or weaker with transgender recruits.  I vote weaker.,0.6,bias,transgenders,lgbtq,prejudice against transgenders,neutral,"[-0.4554823338985443, -1.6464577913284302, 1.7317465543746948]"
From the 1950s to today and in every nation in the world:   If you allow them to hang out with boys this is what gay priests will do.  The only solution is to bar all priests from boys or to bar gays from the priesthood.  And yet we have progressives who think the church needs even more gay priests and that the sexual orientation of gau priests be kept a secret from the public.  And yes I reject the silly idea that men who rape boys are not gay.,0.8,bias,gays,lgbtq,prejudice against gays,neutral,"[-1.0770699977874756, -0.7036248445510864, 1.3718466758728027]"
Thank you for acknowledging that Muslims are the problem.,0.8,bias,muslims,religion,prejudice against muslims,contradiction,"[0.6669082641601562, -1.4090981483459473, 0.5822998285293579]"
Well said  This understanding is sadly missing from popular religion in the U.S. and the Evangelicals who promote uninformed civil religion rather than Christian discipleship.,0.5,bias,christians,religion,prejudiced against christians,neutral,"[-2.024951696395874, -0.6401852369308472, 2.2939300537109375]"
Muslim women in Canada are cast as the blackest of political demons the most frightening of ghosts.   My goodness hyperbole much?,1.0,bias,"muslims,women","religion,gender",prejudice against muslim women,entailment,"[-2.123833656311035, 0.9346977472305298, 0.7145856618881226]"
Only weak minded liberal women.,0.55,neutral,,none,,contradiction,"[2.286147117614746, -1.664271593093872, -0.6653134822845459]"
Just pointing out that the gay life choice in unnatural and unhealthy.  5 of the demographic with 81 of the cases.,0.833333333,bias,gays,lgbtq,prejudice against gays,neutral,"[-1.4066312313079834, -0.0766649842262268, 1.1078500747680664]"
We have to have different Oscars .One for womenone for black one for Latinos one for gays. Everybody are happy,0.508196721,neutral,,none,,contradiction,"[3.277402639389038, -2.952831745147705, -0.23232775926589966]"
I will not allow women to have their own offices in my small business. I have already barred the men from our washroom in the office area . The men use the public washroom on the next floor. The firm is going back to the open concept office where I can keep tabs on the staff. The flirting which often leads to hanky panky will come to a stop. My business does not cater to employees who date each other. This boy girl stuff cuts into the production here.,0.5,bias,"women,men",gender,prejudice against men and women,neutral,"[-1.254367470741272, -1.008015751838684, 1.7810512781143188]"
Russia as a whole is hostile to homosexuals.,0.542857143,bias,"russians,homosexuals","race,lgbtq",prejudice against russians and towards homosexuals,entailment,"[-3.0939652919769287, 2.1589105129241943, 0.22893278300762177]"
Dont know how you made the assumption that I think racism does not exist. It does and it is not going to be lessened by the university building a hideaway for black students.,0.6,bias,blacks,race,prejudice against blacks,entailment,"[-2.1129727363586426, 1.4981378316879272, 0.06516214460134506]"
Well you might as well be a white supremist with a comment like that.  You and the other sickening MAGAphants dont even realize that you are now spreading the rationale of the altright in the name of fairness.  After the civil war we should have done exactly what Germany did with the Nazis  make illegal any statues or memorabilia glorifying the dispicable nature of white racism and supremacy.  Why do you think not being white makes your argument any less racist.  You may look in the mirror and SEE nonwhite but face it you nothing more than a lapdog for white supremacists. Congratulations.  and nice to see youre collecting your approvals from a bunch of white racists,0.833333333,bias,whites,race,prejudice against whites,neutral,"[-0.4916679263114929, -1.2285939455032349, 1.3222863674163818]"
Yeah cause zero did so much for the blacks of America.,0.274193548,neutral,,none,,contradiction,"[2.9163694381713867, -2.2567169666290283, -0.6329671144485474]"
charles dalton:  Every post on here that mentions anything  negative  about BLACKS you Disagree with.  Are you by chance a BLACK person?????,0.578125,neutral,,none,,contradiction,"[4.154277324676514, -2.74371337890625, -1.2867575883865356]"
Wolf Eagle is only against Carson and says bad things because Carson is black. Its so obvious.,0.5,bias,blacks,race,prejudice against blacks,neutral,"[-2.2572484016418457, 0.6492266058921814, 1.1529954671859741]"
One has to remember the venue for such vile intolerance  Eugene Oregon  Where Christians are loathed and Islam is embraced... the same Islam that executes homosexuals beheads infidels and treats their women like dogs.,0.8,bias,muslims,religion,prejudice against muslims,entailment,"[-1.6161370277404785, 0.7916889190673828, 0.42040833830833435]"
he is a pants pisser   packed up his weapon and all his ammo and went out in search of someone to shoot because black people scare him ............  a normal human being does not plan to hunt other humans for sport and cheers from the racist right......,0.5,bias,blacks,race,prejudice against blacks,neutral,"[-0.7593547701835632, 0.12546662986278534, 0.36541685461997986]"
Dylan roof was a mentally ill little scum bag and McVey was likely a cointelpro patsy...its remarkable that the lefts love affair with Islam considering the things Islam stands for are in such stark contrast to liberal western thinking. I think because the left and Islam both oppose Christianity and Americanism it an enemy or their enemies type of thing.,0.272727273,bias,"lefts,muslims","political,religion",prejudice against lefts and muslims,contradiction,"[0.2999727725982666, -0.4950883388519287, 0.06664453446865082]"
and it is not coincidental that it is also one of the worst places on earth to be a woman.,0.5,bias,women,gender,prejudice against women,neutral,"[-2.9061787128448486, 0.8381867408752441, 1.6625380516052246]"
Apparently if someone is black the LEOs are not allowed to protect anyone else from his butcher knives.  What a farce.,0.7,bias,blacks,race,prejudice against blacks,neutral,"[-2.049858808517456, 0.15306082367897034, 1.5312855243682861]"
Looks like weve found they only way to actually get the white supremacists and confederate sympathizers to allow the statues to be moved from places of honor to places of history that is by ignoring them and doing it ourselves.,0.5,bias,whites,race,prejudice against whites,neutral,"[-1.3960832357406616, 0.11875562369823456, 0.8816570043563843]"
This country has been a giant affirmative action program for people that Europe didnt need or want. If white folks are such hard working individuals why did they need black slaves? I guess white folks dont have much of a work ethic for the business model the nation was built on. You are free to be a snow flake if that makes you feel better. You dont even know what you have earned and what you were given for just showing up white.,0.7,bias,"blacks,whites",race,prejudice against blacks and whites,neutral,"[-1.4842902421951294, 0.22841311991214752, 0.875705897808075]"
Youre basically saying youre brown and am proud.  Likewise Im tanned almost brown and an proud.  Are you a racist against tanned people?,0.254237288,neutral,,none,,contradiction,"[4.796236038208008, -2.9933297634124756, -1.6119555234909058]"
At bit later.  The feral European Muslims anyway.  The feral African Muslims came earlier than thatbut they werent volunteers.  Next question.,0.739130435,bias,muslims,religion,prejudice towards muslims,neutral,"[0.4300123155117035, -2.141526699066162, 1.3523029088974]"
And to think she was a woman does not guarantee Muslim terrorists women wont shoot  us or your kids. Remember terrorists. Not because they are muslim.,0.5,neutral,,none,,contradiction,"[2.0851027965545654, -1.548340082168579, -0.5427441000938416]"
A bunch of mentally ill white guys formed cells and planned attacks? Cmon.,0.5625,bias,whites,race,prejudice against whites,neutral,"[-1.5991944074630737, -0.0016098133055493236, 1.2070811986923218]"
Who cares what this Mexican has to say.  Go back to Mexico.,0.685714286,bias,mexicans,race,prejudice against mexicans,neutral,"[0.12929008901119232, -1.261915922164917, 0.8316586017608643]"
One muslim casualty vs the hundreds and thousands of victims of muslim terrorism this year alone. Darn islamophobia.  I take it you are not including the hundreds of thousands of Muslims bombed back to the Stoneage in the Middle East.,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[-1.9553587436676025, 1.3423104286193848, 0.06073029711842537]"
Very good article but youll still have to register as a Muslim and we might decide to have you move to a special camp strictly for your own safety while we make America great again.,0.6,bias,muslims,religion,prejudice against muslims,neutral,"[-1.019879937171936, -0.6530212759971619, 1.3023449182510376]"
So trumpty dumpty  are you fine with blacks killing all the white cops?  THAT my friend is racism,0.575,bias,blacks,race,prejudice against blacks,neutral,"[-1.9049253463745117, 0.6759626865386963, 0.8322877287864685]"
trump is a racist and bigot.  he tried to undermine Obama citizenship he dislikes muslims blacks and other minorities and made denigrating remarks against the muslim mayor.  had the mayor been white he would not have made those comments.  he hired an outwardly racist AG in sessions etc.  he did not rent to blacks in their apartments in NYC. etc.,0.5125,neutral,,none,,contradiction,"[4.394067287445068, -2.682931661605835, -1.5539076328277588]"
Ill be upfront so you do not miss my meaning... Muslims have no place in a feee society Banish them all ,0.7,bias,muslims,religion,prejudice against muslims,neutral,"[-1.8558533191680908, 0.31195327639579773, 1.1078007221221924]"
The antiMuslim types dont want to hear it.,1.0,neutral,,none,,contradiction,"[3.46746826171875, -2.3727526664733887, -0.9652408957481384]"
Afro men need to deal with their violence.  As do whites.,0.606060606,bias,blacks,race,prejudice against blacks,neutral,"[-1.2961809635162354, -0.5593070983886719, 1.4595378637313843]"
Only a fuckin nigger would do something like this.,0.97925072,bias,blacks,race,prejudice against blacks,neutral,"[-1.5692132711410522, 0.09976895153522491, 1.0828694105148315]"
So if a man leaves hes a loser and if she leaves him...hes a loser.  Well sure its in keeping with the baseline supposition:   If a man despises women hes an ahole if a woman despises men its because men are aholes.  Feminists do have a kind of consistency going there its just not what youd call rational.,0.271428571,bias,feminists,political,prejudice against feminists,neutral,"[-1.1247353553771973, -0.2949948310852051, 1.0858337879180908]"
Obviously nothing wrong with grabbing pssy.  lol  Enjoy republicans especially you so called religious ones.  Women are made to serve man.    Just listen to the Donald Bill ORiley and Rush.  :,0.5,bias,republicans,political,prejudice against republicans,contradiction,"[1.3090678453445435, -1.4408897161483765, -0.05224156752228737]"
What Catholics hate black folks and to ignore the needs of the poor?   Thats as nonsensical as saying: Catholics are free to support contraception abortion same sex marriage and adultery.,0.565789474,bias,christians,religion,prejudice against christians,neutral,"[-1.565515398979187, 0.16767632961273193, 1.007096529006958]"
She is ignorant of what happens in America and the rest of the world Jewish Zionist Supremacist are leading the agenda of destroying white countries US UK EU with multiculturalism and she points the finger at Muslims.....the hypocrisy is not funny.,0.540540541,bias,"jews,muslims",religion,prejudice against jews and muslims,entailment,"[-2.8630006313323975, 2.0527760982513428, 0.14783716201782227]"
I hope the Canadian men get all the shit they can get from the feminists and their politicians.   Why? Because their stupidity and silence put those in power. Now they deserve all in full. Have fun in equality land and never dare to complain You helped them rule over you   Sorry for the victims the real men that get screwed by the insane gender police and the feminist male hating brigade. Hopefully you can migrate somewhere and let the liberal men deal with what they helped create.,0.528571429,bias,canadians,race,prejudice against canadians,neutral,"[-0.3673022389411926, -0.7251485586166382, 0.8107890486717224]"
Art. Wavemaker is not known for rational thought just antiwhite racism.,0.5,bias,whites,race,prejudice against whites,entailment,"[-2.592122793197632, 2.2508718967437744, -0.36097967624664307]"
Roof is not really an ignorant redneck or KKK white trashhis family seemed quite welloff when he was a child and according to reports he was bright in school.   Hes clearly not normalhis OCD is likely from Aspergers or autism.  He got into drugs and someone like him very obviously should not have been permitted to carry a gun.,0.7,bias,whites,race,prejudice against whites,neutral,"[-0.7721437811851501, -1.3775787353515625, 1.681516170501709]"
Jehovahs Witnesses is an evil sect and deserved to be banned all over the world.,0.625,neutral,,none,,contradiction,"[3.0803515911102295, -2.637097120285034, -0.4322167932987213]"
Further I expect to be killed any day that after being beaten by two big racist rednecks in 2009 because of my race. I was only 65 years old then. Hate speech and racist utterances are prelude to this kind of action. A Muslim wont kill me. An American racist will.,0.8,bias,muslims,religion,prejudice against muslims,neutral,"[-0.030178392305970192, -1.9421069622039795, 1.6468448638916016]"
John Kawamoto the word lots does not exist in your original statement which is as follows:  his xenophobic executive order to satisfy his white supremacist and racist base of supporters.,0.5,bias,whites,race,prejudice against whites,neutral,"[-1.4867560863494873, 0.01731586828827858, 1.0992351770401]"
Oh. Right. Only white men are allowed to be racist and sexist.  Robin H know your place.,0.560606061,bias,whites,race,prejudice against whites,neutral,"[-1.4062724113464355, -0.046098578721284866, 1.0969072580337524]"
Over and over in the Muslim bible it tells them to kill all people who will not convert. This is not islamophobia people. This is the right to life I have a right to live knowing if one of their people will kill me as I am a Christian. A Muslim student in the school I work at was screaming Ill kill all Christian s. So tell us again why we shouldnt be afraid??? Please? Tell me???,0.7,bias,muslims,religion,prejudice against muslims,neutral,"[-0.750860869884491, -1.1218907833099365, 1.5062779188156128]"
Not what my Sheikh says.  And hes black himself.  That whole black Americans cannot be racist slogan has been pretty much discredited.,0.6,bias,blacks,race,prejudice against blacks,neutral,"[-1.8696595430374146, 0.4479388892650604, 1.0156807899475098]"
I cant see why.  Gay people are just as responsible as everyone else to pay the societal costs associated with unwanted pregnancies.  But I guess a hater gotta hate.,0.6,bias,gays,lgbtq,prejudice against gays,entailment,"[-2.150425672531128, 1.0860141515731812, 0.5885563492774963]"
Wayne  how about supporting black criminals instead of the police  supporting the Sharpton group who does nothing for the black community  pushing Obamacare down the throats of 67 of the American people against their wishes and on and on and on,0.6,bias,blacks,race,prejudice against blacks,neutral,"[-1.1278963088989258, -0.28546208143234253, 1.1039128303527832]"
They should win   as long as they can put shockcollars on the WildRose fascists to stop them spoutingoff inane anachronisms denouncing and hating: women homosexuals. environmentalists nonwhite Canadians labour laws and any person or activity that doesnt increase the profits of U.S. and foreign oil companies...,0.5,bias,"women, whites, gays","gender, race",prejudice against women and lgbtq,entailment,"[-2.0254876613616943, 0.8504930138587952, 0.7397400736808777]"
For most of us white males we are normal and other cultures are identity politics. This is of course knowledge. White male is such a powerful identity it assumes it is normal. It is hard to find a better example of identity politics than the Proud Boys or this comment.,0.5,bias,whites,race,prejudice against whites,neutral,"[-1.3350670337677002, -1.3261232376098633, 2.2016093730926514]"
You sound like a part of our problem not a solution. The slur on gay folks and the Pepe the frog  cartoon showing Trump forcing himself on a blond woman Hilary? give you away. Go spread your hate elsewhere.,0.271428571,neutral,,none,,contradiction,"[4.877835273742676, -2.7753729820251465, -1.8850054740905762]"
True but Gays and Lesbians should show a little restraint in their behavior.  Kissing and making out in front of children is taking it too far.  I read that this is what happened in front of the shooters little 3 year old boy and that is what set him off.  That kind of behavior by Gays is extremism.,0.8,bias,gays,lgbtq,prejudice against gays,neutral,"[-1.410482406616211, -0.976546585559845, 2.0357232093811035]"
The manners he was taught were to deny housing to blacks and to stiff his contractors and to lie slur and denigrate the other.,0.6,bias,blacks,race,prejudice against blacks,entailment,"[-2.4015841484069824, 1.038831353187561, 0.9248732924461365]"
Displaying the fricken confederate flag which would be used only as asswipe by me and a whole lot of others is bullying to most of us black and brown people you dumbass.,0.608108108,neutral,,none,,contradiction,"[5.1280012130737305, -2.982429027557373, -1.9255164861679077]"
Shows you how screwed up the Catholic church is.  Besides all the abuse and sexual assaults on altar boys stealing from the church.  Practice what you preach.  THOU SHALL NOT STEAL...,0.5625,bias,christians,religion,prejudice against christians,neutral,"[-0.00450317095965147, -1.1825214624404907, 0.8730093240737915]"
If it were up to me I would have kept Muslim out of the equation and instead used shariah compliant individuals as being barred from this country.   Wow Dromig10  That will really fool those Muslims.  They will have no idea that the ban is aimed at them.,0.7,bias,muslims,religion,prejudice against muslims,neutral,"[-1.4446154832839966, -0.4197612702846527, 1.442947268486023]"
After Hillary wins this sort of nonsense wont be tolerated. Those arrogant white men will go to jail or maybe to one of the FEMA work and reeducation camps.,0.529411765,bias,whites,race,prejudice against whites,neutral,"[-1.9776238203048706, -0.5729815363883972, 2.1551640033721924]"
Black people cry racism every chance they get. Its pathetic.,0.777777778,bias,blacks,race,prejudice against blacks,entailment,"[-2.1280603408813477, 1.4328237771987915, 0.15776841342449188]"
Black men are primarily responsible for that. This part of your statement is true. This country would not exist were it not for millions of black slaves. The colonies from Maryland south would never have joined the Revolution without protections for race based slavery. We would be more like Canada without race based slavery.  In 1860 80 of the wealth of the nation was from slaves slave labor and the products that labor produced. The violence today is a product of our history. The rest of your statement is just fake news.,0.8,bias,blacks,race,prejudice against blacks,neutral,"[-0.8564015626907349, -1.7616344690322876, 2.3632099628448486]"
Oh yeah tell us all about it.  You sure love the constitution laws and rights if you are white.   Please follow them or proceed to jail. Thanks. Except when your name is alt white Arpacio.,0.5,bias,whites,race,prejudice towards whites,neutral,"[0.3872234523296356, -1.5483204126358032, 0.8934086561203003]"
Its not the Police theyre insulting and abusing it is society itself which empowers the police this is an attack against civil society by real racists black supremacists in founders own words at BLM.,0.6,bias,blacks,race,prejudice against blacks,entailment,"[-2.209942102432251, 1.0099334716796875, 0.7526324391365051]"
Feminism is a hate group. Their mission is to tear down men and destroy masculinity. Feminists are hateful sexist people. They go out of their way to prove it to the world at every conceivable opportunity.,0.717863105,bias,feminists,political,prejudice against feminists,entailment,"[-2.932774066925049, 2.1521010398864746, 0.12776367366313934]"
Priests should also be Jewishborn because Jesus only had Jewish men at the last supper. It has to be exactly the way it was at that supper.  Thats why we cant have women presiding...or so says the feminaphobic RCC kyriarchy.,0.5,bias,jews,religion,prejudice against jews,neutral,"[-1.4521596431732178, -0.12441003322601318, 1.2212493419647217]"
Trump emboldened this racist loser.  Expect more of the same because you know... white people.,0.528571429,bias,whites,race,prejudice towards whites,entailment,"[-1.8650665283203125, 1.0156093835830688, 0.3182165324687958]"
What would Jesus do? Penniless as he was and we who read the bible know his thoughts on helping the less fortunate and about camels fitting the eyes of needles. The hypocrisy of the christian right is astounding.,1.0,bias,christians,religion,prejudice against christians,neutral,"[-1.9402132034301758, 0.11818341165781021, 1.4665789604187012]"
Trump is by far the Greatest President that ever lived. Have a nice day remember to smile and hug a stranger Except the Muslims and libs. they might bite and give you a disease.,0.696969697,bias,"liberals,muslims","political,religion",prejudice against muslims and liberals,neutral,"[-1.2732977867126465, -0.44336146116256714, 1.372361183166504]"
If this guy was black he would have been shot.,0.860215054,bias,blacks,race,prejudice towards blacks,neutral,"[-1.3646457195281982, -0.45429888367652893, 1.4368832111358643]"
which drew neoNazis white nationalists and members of the Ku Klux Klan. Not to mention neo_Marxists who are the  altleft version of the Nazis and are themselves evil and destructive.,0.6,bias,whites,race,prejudice against whites,neutral,"[-1.9229463338851929, -0.45836764574050903, 1.9488587379455566]"
Most progressives are mentally ill. Just watch your facebook feed and youll see the vast majority of crazy posts are from your progressively minded friends.,0.262234043,bias,progressives,political,prejudice against progressives,neutral,"[-1.312509298324585, -0.6881998181343079, 1.5712335109710693]"
So transgendered people cannot defend the US and fight? Used to say that about black people and women. Discrimination is discrimination.,1.0,bias,"transgenders,blacks,women","lgbtq,gender,race","prejudice towards race, lgbtq and women",entailment,"[-1.8738535642623901, 1.2138088941574097, 0.16863879561424255]"
This guy waved a flag of treason and then shot two cops. Let me guess hes mentally ill not a terrorist because hes white.,0.6,bias,whites,race,prejudice towards whites,neutral,"[-1.016042947769165, -0.4844517409801483, 1.1469800472259521]"
Jihadism is a collective mental illness....,0.7,bias,muslims,religion,prejudice against muslims,neutral,"[-0.754545271396637, -1.2978718280792236, 1.6810342073440552]"
There is no place for religious accommodation in my Canada. Religions of every kind are a cancer on the human race that breed intolerance contempt and ultimately violence by those who simply take their fairytales way too seriously. I dont care if youre Muslim Christian Jewish or Rastafarian its all nonsense.,0.590909091,bias,atheists,religion,prejudice towards atheists,neutral,"[-0.8625446557998657, -1.1892107725143433, 1.6493417024612427]"
I have read the dumbest generalizations today about blacks and liberals. It is weird.,0.5125,neutral,,none,,contradiction,"[4.712485313415527, -3.2248334884643555, -1.3246806859970093]"
Giving a Muslim a bad name is an oxymoron.,0.515625,bias,muslims,religion,prejudice against muslims,neutral,"[-1.2246136665344238, 0.4233858287334442, 0.4487234652042389]"
Just like homosexuals transgenders are born like that.  The gender is determined by the doctors at birth and a scientific reality cant be denied by I feel nonsense.  The fight is between proscience realists and prochoice fanatics.,0.6,bias,lgbtq,lgbtq,prejudice against lgbtq,neutral,"[-1.059276819229126, -0.06444162130355835, 0.7934545278549194]"
I havent heard any apologies coming from the Catholic church regarding the hundreds of thousands of innocent children that were raped at the hands of their priests.  Sorry but a loose lip apology wont cut it. People cant take back rape or abuse. Waitll Judgement Day.,0.5,bias,christians,religion,prejudice against christians,neutral,"[-0.5790189504623413, -1.3822709321975708, 1.555078387260437]"
Lol last comment gone ill post another revised one here goes   Another NIGGER running around robbing stores and getting away with it... I am not shocked. Delete this one too doesnt change the amount of niggers doing dumb shit it just makes you a nigger for infringing on my freedom of speech.,0.896672504,bias,blacks,race,prejudice against blacks,neutral,"[-1.2457209825515747, -0.6100103855133057, 1.4578462839126587]"
Wonder if this writer is mormon ? Why else would she or anyone want him..Hes a two time loser with a nastyholier that thou attitude..Poor loser too.,0.272727273,neutral,,none,,contradiction,"[4.315811634063721, -2.9958460330963135, -1.1348683834075928]"
I am very familiar with the Marine Corps Hymn and it doesnt say a single thing about Muslims or Sharia.  They didnt go to Tripoli to fight Islam.  Heres health to you and to our Corps,0.6,bias,muslims,religion,prejudice against muslims,neutral,"[0.3755296468734741, -1.4414323568344116, 0.6989921927452087]"
Whoever holds more power will ultimately have the upper hand. It works the same way in nonWhite societies. North Koreans are racist against nonNorth Koreans. Black Africans are racist against other Black Africans. Japanese are racist against Koreans and vice versa.   Nothing you said disputes the fact that all people have racist thoughts.,0.507042254,neutral,,none,,contradiction,"[2.5947232246398926, -2.2781004905700684, -0.3586878776550293]"
she still has 16 support so that proves there is a lot of mental illness in Ontario,0.5,neutral,,none,,contradiction,"[1.6719330549240112, -2.1678333282470703, 0.42755457758903503]"
depends on who you label a terrorist.  Dylan Roof was a terrorist.  The white guy who killed the Indian man in the US was a terrorist.  The white guy who killed a black guy in NYC because he was black is a terrorist.  Who gives a damn what you call it?,0.653333333,neutral,,none,,contradiction,"[4.365625858306885, -2.823782205581665, -1.3706282377243042]"
Religious freedoms are getting stupid and should get no more attention than any other fairy tails written by men.,0.289473684,bias,men,gender,prejudice against men,neutral,"[-0.4271422326564789, -0.6937684416770935, 0.8541384935379028]"
No they just murder Black people going to Church,0.714285714,bias,blacks,race,prejudice against blacks,neutral,"[-1.773517370223999, 0.44746536016464233, 0.956575334072113]"
Radical Islamic Terrorism Radical Islamic Terrorism Radical Islamic.....oh wait.,0.56,bias,muslims,religion,prejudice against muslims,neutral,"[-1.3555620908737183, -1.376796007156372, 2.368065357208252]"
